constructorId,name,nationality,url
caterham,Caterham,Malaysian,https://en.wikipedia.org/wiki/Caterham_F1
ferrari,Ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari
force_india,Force India,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India
hrt,HRT,Spanish,https://en.wikipedia.org/wiki/HRT_Formula_1_Team
lotus_f1,Lotus F1,British,https://en.wikipedia.org/wiki/Lotus_F1
marussia,Marussia,Russian,https://en.wikipedia.org/wiki/Marussia_F1
mclaren,McLaren,British,https://en.wikipedia.org/wiki/McLaren
mercedes,Mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
red_bull,Red Bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing
sauber,Sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport
toro_rosso,Toro Rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
williams,Williams,British,https://en.wikipedia.org/wiki/Williams_Racing
