season,round,raceId,circuitId,driverId,constructorId,position,q1,q2,q3
2018,1,2018_01,albert_park,hamilton,mercedes,1,1:22.824,1:22.051,1:21.164
2018,1,2018_01,albert_park,raikkonen,ferrari,2,1:23.096,1:22.507,1:21.828
2018,1,2018_01,albert_park,vettel,ferrari,3,1:23.348,1:21.944,1:21.838
2018,1,2018_01,albert_park,max_verstappen,red_bull,4,1:23.483,1:22.416,1:21.879
2018,1,2018_01,albert_park,ricciardo,red_bull,5,1:23.494,1:22.897,1:22.152
2018,1,2018_01,albert_park,kevin_magnussen,haas,6,1:23.909,1:23.300,1:23.187
2018,1,2018_01,albert_park,grosjean,haas,7,1:23.671,1:23.468,1:23.339
2018,1,2018_01,albert_park,hulkenberg,renault,8,1:23.782,1:23.544,1:23.532
2018,1,2018_01,albert_park,sainz,renault,9,1:23.529,1:23.061,1:23.577
2018,1,2018_01,albert_park,bottas,mercedes,10,1:23.686,1:22.089,
2018,1,2018_01,albert_park,alonso,mclaren,11,1:23.597,1:23.692,
2018,1,2018_01,albert_park,vandoorne,mclaren,12,1:24.073,1:23.853,
2018,1,2018_01,albert_park,perez,force_india,13,1:24.344,1:24.005,
2018,1,2018_01,albert_park,stroll,williams,14,1:24.464,1:24.230,
2018,1,2018_01,albert_park,ocon,force_india,15,1:24.503,1:24.786,
2018,1,2018_01,albert_park,brendon_hartley,toro_rosso,16,1:24.532,,
2018,1,2018_01,albert_park,ericsson,sauber,17,1:24.556,,
2018,1,2018_01,albert_park,leclerc,sauber,18,1:24.636,,
2018,1,2018_01,albert_park,sirotkin,williams,19,1:24.922,,
2018,1,2018_01,albert_park,gasly,toro_rosso,20,1:25.295,,
